county,year,month,season,total_rainfall,mean_temp,max_temp,min_temp,mean_humidity,mean_solar,mean_wind,dry_days,obs_count,temp_range,drought_flag,is_long_rains,is_short_rains,spi_3
Migori,2019,5,MAM,140.76,22.14258064516129,27.783870967741933,17.433548387096774,76.41161290322582,21.043225806451613,1.75,6,31,10.350322580645159,0,1,0,0.25129607283302446
Migori,2019,6,DS2,104.96,20.874000000000002,25.695666666666668,17.10533333333333,78.35333333333332,16.300666666666665,1.4623333333333333,6,30,8.590333333333337,0,0,0,-1.007293491159413
Migori,2019,7,DS2,35.34,21.736451612903227,27.94,16.411612903225805,67.34354838709677,19.95225806451613,1.8812903225806452,19,31,11.528387096774196,1,0,0,-1.0884245988015055
Migori,2019,8,DS2,107.28,22.330967741935485,28.884193548387096,16.80806451612903,65.8258064516129,20.709032258064518,1.9303225806451614,17,31,12.076129032258066,1,0,0,0.6054926238803046
Migori,2019,9,DS2,106.46,22.861333333333334,29.690333333333335,17.058333333333334,65.99866666666667,22.872,1.938,9,30,12.632000000000001,0,0,0,0.5673944338653788
Migori,2019,10,OND,182.05,22.720000000000002,29.585483870967742,17.239032258064515,69.90322580645162,21.32193548387097,1.9496774193548387,9,31,12.346451612903227,0,0,1,1.15464902801311
Migori,2019,11,OND,424.11,21.392333333333333,26.899333333333335,17.471666666666668,80.305,20.616333333333333,1.557,7,30,9.427666666666667,0,0,1,1.1243495630824338
Migori,2019,12,OND,424.59,20.29258064516129,24.176774193548386,17.276774193548388,85.99483870967742,18.563870967741938,1.3129032258064517,4,31,6.899999999999999,0,0,1,0.5790650265539251
Migori,2020,1,DS1,295.86,21.318064516129034,25.55483870967742,17.7558064516129,81.71516129032258,20.280967741935484,1.3729032258064517,5,31,7.799032258064518,0,0,0,-1.1546944955399767
Migori,2020,2,DS1,174.9,21.923793103448276,26.972758620689657,17.395862068965517,79.81551724137931,23.022068965517242,1.2706896551724138,8,29,9.57689655172414,0,0,0,-0.9894674560192537
Migori,2020,3,MAM,365.48,21.212903225806453,25.761935483870968,17.601612903225806,84.22967741935483,21.511290322580646,1.4729032258064516,6,31,8.160322580645161,0,1,0,0.89939080964782
